title,type,src
巨大戰艦水晶核心(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP021.JPG
瘋狂龍蝦,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP003.JPG
電子科技魔術師(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP016.JPG
電子科技魔術師(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP016S.JPG
電子科技獨眼巨人,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP017.JPG
機械工業犬,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP018.JPG
電子惡魔,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP019.JPG
電子龍(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP015.JPG
哥布林精英部隊(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP020S.JPG
E．HERO泡沫人(銀字),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP014.JPG
巨大戰艦水晶核心(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP021S.JPG
巨大哥查基,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP022.JPG
不屈鬥士雷雷,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP023.JPG
守護靈艾蓮,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP024.JPG
哪傢伙(黃人),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP025.JPG
死亡青蛙,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP026.JPG
惡魂邪苦止,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP027.JPG
哥布林精英部隊(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP020.JPG
鑽頭洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP009.JPG
次元牆(銀字),trap,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP059.JPG
羽翼小栗球LV10(金亮),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP005.JPG
羽翼小栗球LV10(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP005S.JPG
警車洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP006.JPG
螺旋槳洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP007.JPG
螺旋槳洛伊德(普鑽),monster,https://gss0.baidu.com/9vo3dSag_xI4khGko9WTAnF6hhy/zhidao/pic/item/267f9e2f07082838beef9987b099a9014d08f147.jpg
電子龍(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP015S.JPG
火車洛伊德(普鑽),monster,https://gss0.baidu.com/9vo3dSag_xI4khGko9WTAnF6hhy/zhidao/pic/item/267f9e2f07082838beef9987b099a9014d08f147.jpg
電池人單二型,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP030.JPG
鑽頭洛伊德(普鑽),monster,https://gss0.baidu.com/9vo3dSag_xI4khGko9WTAnF6hhy/zhidao/pic/item/267f9e2f07082838beef9987b099a9014d08f147.jpg
