id,title,type,src
0,巨大戰艦水晶核心(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP021.JPG
1,瘋狂龍蝦,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP003.JPG
2,電子科技魔術師(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP016.JPG
3,電子科技魔術師(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP016S.JPG
4,電子科技獨眼巨人,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP017.JPG
5,機械工業犬,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP018.JPG
6,電子惡魔,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP019.JPG
7,電子龍(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP015.JPG
8,哥布林精英部隊(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP020S.JPG
9,E．HERO泡沫人(銀字),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP014.JPG
10,巨大戰艦水晶核心(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP021S.JPG
11,巨大哥查基,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP022.JPG
12,不屈鬥士雷雷,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP023.JPG
13,守護靈艾蓮,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP024.JPG
14,哪傢伙(黃人),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP025.JPG
15,死亡青蛙,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP026.JPG
16,惡魂邪苦止,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP027.JPG
17,哥布林精英部隊(亮面),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP020.JPG
18,鑽頭洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP009.JPG
19,次元牆(銀字),trap,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP059.JPG
20,羽翼小栗球LV10(金亮),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP005.JPG
21,羽翼小栗球LV10(凸版),monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP005S.JPG
22,警車洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP006.JPG
23,螺旋槳洛伊德,monster,http://220.134.173.17/gameking//game/0217/win/37-CRV/37-CRV/CRV-JP007.JPG
